"Casa","1","puelo864","64015000","99.0","3","2","1","59","true"
"Casa","2","puelo864","64015000","99.0","3","2","1","59","true"
"Casa","3","puelo864","99830060","99.0","3","2","1","59","true"
"Casa","4","puelo864","67816920","70.0","2","1","1","40","true"
"Casa","1004","test51","99830060","99.0","3","2","1","59","true"
"Departamento","1","dep1","70271690","45.0","2","1","10","true","false"
"Departamento","2","dep2","64228236","40.0","2","1","10","true","true"
"Terreno","1","terr1","39701520","100.0","true","true","true"
"Terreno","2","terr2","43009980","100.0","true","true","true"
"Terreno","3","terr3","86019960","200.0","true","true","true"
